tom is going to do that again.	tom akan melakukan itu lagi.
there is a cat.	ada seekor kucing.
this is interesting.	ini menarik.
how many countries are there in europe?	ada berapa negara di eropa?
i can't eat pork.	saya tidak boleh makan daging babi.
last night i had a strange dream.	mimpiku semalam aneh.
i cannot thank you enough for your assistance.	sungguh terima kasih atas bantuannya.
may i run with you?	bolehkah aku berlari bersamamu?
1, 3, and 5 are odd numbers.	1, 3, dan 5 adalah bilangan ganjil.
cut it out.	sudah hentikan.
strange things happened on her birthday.	hal yang aneh telah terjadi di hari ulang tahunnya.
my heart is weak.	jantungku lemah.
that's unfortunate.	sayang sekali.
i am not sure how to pronounce the word.	saya tidak yakin bagaimana cara mengucapkan kata itu
my home is on the eighth floor.	rumahku di lantai 8.
i have a vietnamese friend. her name is tiên.	saya punya teman orang vietnam. namanya tiên.
frayed electrical cables can be very dangerous.	kabel listrik yang lecek bisa sangat berbahaya.
i'm dumb.	aku bodoh.
tom played baseball after school with his friends.	tom bermain kasti dengan teman-temannya setelah selesai sekolah.
that isn't our only problem.	itu bukan satu-satunya masalah kita.
do you like me?	apakah kamu suka aku?
i was at my wit's end.	aku kehabisan akal.
take a rest.	istirahatlah.
everyone is looking at tom.	semua orang melihat tom.
we still have so much to learn.	masih banyak sekali yang harus kami pelajari.
tom knows something we don't.	tom mengetahui sesuatu yang tidak kita ketahui.
who's your favorite actor?	siapa aktor favoritmu?
i know it wasn't tom.	aku tahu itu bukan tom.
i can't drink wine.	saya tidak boleh minum anggur.
the drug smuggler was arrested at the airport.	penyelundup narkoba itu ditangkap di bandara.
tom and i got drunk together.	tom dan saya mabuk bersama.
what are you talking about?	apa yang sedang kamu bicarakan?
don't disturb tom while he's studying.	jangan ganggu tom saat dia sedang belajar.
did they fire you?	apakah mereka memecatmu?
sometimes i don't know why i'm crying.	terkadang saya tidak tahu mengapa saya menangis.
he's always late for class.	dia selalu telat ke kelas.
we got lost on our way here.	kita tersesat dalam perjalanan ke sini.
a promise is a promise.	janji adalah janji.
